,n_features,seed,type,time,time_norm
362,148,9,cubic,0.06028542900457978,6.028542900457978e-05
363,148,9,linear_cubic,105.8744359560078,0.1058744359560078
364,18,1,cubic,0.13787337800022215,0.00013787337800022216
365,18,1,linear_cubic,0.7830811789899599,0.0007830811789899599
366,68,8,cubic,0.09763253899291158,9.763253899291157e-05
367,68,8,linear_cubic,21.16182445199229,0.021161824451992287
368,119,4,quadratic,0.12060091097373515,0.00012060091097373516
369,119,4,linear_quadratic,2.435544902982656,0.002435544902982656
370,125,5,cubic,0.07646043901331723,7.646043901331723e-05
371,125,5,linear_cubic,128.27940246800426,0.12827940246800426
372,15,7,quadratic,0.08576894900761545,8.576894900761545e-05
373,15,7,linear_quadratic,0.019147854996845126,1.9147854996845124e-05
374,95,8,cubic,0.13764381798682734,0.00013764381798682734
375,95,8,linear_cubic,42.5257794019999,0.0425257794019999
376,50,7,quadratic,0.13470923897693865,0.00013470923897693866
377,50,7,linear_quadratic,2.1194002410047688,0.0021194002410047687
378,146,6,cubic,0.054975200997432694,5.4975200997432695e-05
379,146,6,linear_cubic,105.742298578989,0.105742298578989
380,76,4,quadratic,0.08816413499880582,8.816413499880583e-05
381,76,4,linear_quadratic,1.2512125700013712,0.0012512125700013712
382,86,2,cubic,0.09181733400328085,9.181733400328085e-05
383,86,2,linear_cubic,49.38712813798338,0.049387128137983384
384,103,6,cubic,0.09869107900885865,9.869107900885865e-05
385,103,6,linear_cubic,75.24211821396602,0.07524211821396602
386,33,4,quadratic,0.1199666450265795,0.0001199666450265795
387,33,4,linear_quadratic,0.10908443096559495,0.00010908443096559494
388,122,2,quadratic,0.11211465599626536,0.00011211465599626536
389,122,2,linear_quadratic,1.4902334650032572,0.0014902334650032571
390,66,7,cubic,0.1284887770016212,0.0001284887770016212
391,66,7,linear_cubic,17.89829499600455,0.017898294996004552
392,23,7,cubic,0.08259805000852793,8.259805000852793e-05
